Name,Version,License,URL
babel-plugin-transform-export-extensions,6.22.0,MIT,Unknown
babel-plugin-transform-flow-strip-types,6.22.0,MIT,Unknown
babel-plugin-transform-function-bind,6.22.0,MIT,Unknown
babel-plugin-transform-inline-consecutive-adds,0.2.0,MIT,https://github.com/babel/minify#readme
babel-plugin-transform-member-expression-literals,6.8.5,MIT,https://github.com/babel/minify#readme
babel-plugin-transform-merge-sibling-variables,6.8.6,MIT,https://github.com/babel/minify#readme
babel-plugin-transform-minify-booleans,6.8.3,MIT,https://github.com/babel/minify#readme
babel-plugin-transform-object-rest-spread,6.26.0,MIT,Unknown
babel-plugin-transform-property-literals,6.8.5,MIT,https://github.com/babel/minify#readme
babel-plugin-transform-react-constant-elements,6.23.0,MIT,Unknown
babel-plugin-transform-react-display-name,6.25.0,MIT,Unknown
babel-plugin-transform-react-jsx,6.24.1,MIT,Unknown
babel-plugin-transform-react-jsx-self,6.22.0,MIT,Unknown
babel-plugin-transform-react-jsx-source,6.22.0,MIT,Unknown
babel-plugin-transform-regenerator,6.26.0,MIT,https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-regenerator
babel-plugin-transform-regexp-constructors,0.2.0,MIT,https://github.com/babel/minify#readme
babel-plugin-transform-remove-console,6.8.5,MIT,https://github.com/babel/minify#readme
babel-plugin-transform-remove-debugger,6.8.5,MIT,https://github.com/babel/minify#readme
babel-plugin-transform-remove-undefined,0.2.0,MIT,https://github.com/babel/minify#readme
babel-plugin-transform-runtime,6.23.0,MIT,Unknown
babel-plugin-transform-simplify-comparison-operators,6.8.5,MIT,https://github.com/babel/minify#readme
babel-plugin-transform-strict-mode,6.24.1,MIT,Unknown
babel-plugin-transform-undefined-to-void,6.8.3,MIT,https://github.com/babel/minify#readme
babel-polyfill,6.26.0,MIT,https://babeljs.io/
babel-preset-env,1.6.1,MIT,https://babeljs.io/
babel-preset-es2015,6.24.1,MIT,https://babeljs.io/
babel-preset-flow,6.23.0,MIT,Unknown
babel-preset-minify,0.2.0,MIT,https://github.com/babel/minify#readme
babel-preset-react,6.24.1,MIT,https://babeljs.io/
babel-preset-react-app,3.1.0,MIT,Unknown
babel-preset-stage-0,6.24.1,MIT,https://babeljs.io/
babel-preset-stage-1,6.24.1,MIT,https://babeljs.io/
babel-preset-stage-2,6.24.1,MIT,https://babeljs.io/
babel-preset-stage-3,6.24.1,MIT,https://babeljs.io/
babel-register,6.26.0,MIT,Unknown
babel-runtime,6.26.0,MIT,Unknown
babel-standalone,6.26.0,MIT,https://github.com/Daniel15/babel-standalone#readme
babel-template,6.26.0,MIT,https://babeljs.io/
babel-traverse,6.26.0,MIT,https://babeljs.io/
babel-types,6.26.0,MIT,https://babeljs.io/
babylon,5.8.38,MIT,https://babeljs.io/
babylon,6.18.0,MIT,https://babeljs.io/
babylon,7.0.0-beta.31,MIT,https://babeljs.io/
backo2,1.0.2,MIT,Unknown
balanced-match,0.4.2,MIT,https://github.com/juliangruber/balanced-match
balanced-match,1.0.0,MIT,https://github.com/juliangruber/balanced-match
base64-arraybuffer,0.1.5,MIT,https://github.com/niklasvh/base64-arraybuffer
base64-js,1.2.1,MIT,https://github.com/beatgammit/base64-js
base64id,1.0.0,MIT,Unknown
batch,0.6.1,MIT,Unknown
bcrypt-pbkdf,1.0.1,New BSD,Unknown
better-assert,1.0.2,MIT,Unknown
big.js,3.2.0,MIT,Unknown
binary-extensions,1.11.0,MIT,sindresorhus.com
blob,0.0.4,MIT*,https://github.com/rase-/blob
block-stream,0.0.9,ISC,http://blog.izs.me/
bluebird,2.11.0,MIT,https://github.com/petkaantonov/bluebird
bluebird,3.5.1,MIT,https://github.com/petkaantonov/bluebird
bn.js,4.11.8,MIT,https://github.com/indutny/bn.js
body-parser,1.18.2,MIT,Unknown
bonjour,3.5.0,MIT,https://github.com/watson/bonjour
boolbase,1.0.0,ISC,https://github.com/fb55/boolbase
boom,2.10.1,New BSD,Unknown
boom,4.3.1,New BSD,Unknown
boom,5.2.0,New BSD,Unknown
bootstrap,3.3.7,MIT,http://getbootstrap.com/
bowser,1.8.1,MIT,https://github.com/lancedikson/bowser
boxen,1.3.0,MIT,sindresorhus.com
brace-expansion,1.1.8,MIT,https://github.com/juliangruber/brace-expansion
braces,0.1.5,MIT,https://github.com/jonschlinkert/braces
braces,1.8.5,MIT,https://github.com/jonschlinkert/braces
brcast,3.0.1,MIT,https://github.com/vesparny/brcast
brorand,1.1.0,MIT,https://github.com/indutny/brorand
browserify-aes,1.1.1,MIT,https://github.com/crypto-browserify/browserify-aes
browserify-cipher,1.0.0,MIT,Unknown
browserify-des,1.0.0,MIT,https://github.com/crypto-browserify/browserify-des#readme
browserify-rsa,4.0.1,MIT,Unknown
browserify-sign,4.0.4,ISC,Unknown
browserify-zlib,0.2.0,MIT,https://github.com/devongovett/browserify-zlib
browserslist,1.7.7,MIT,Unknown
browserslist,2.10.0,MIT,Unknown
buffer,4.9.1,MIT,https://github.com/feross/buffer
